route_id,agency_id,route_short_name,route_long_name,route_type,route_color
L387D11,11,387,"Praha,Háje - Uhlířské Janovice,nám.",3,
L390D21,21,390,"Praha,Smíchovské nádraží - Rabyně,Měřín",3,
L391D18,18,391,"Praha,Nádraží Klánovice - Úvaly,žel.st.",3,
L396D63,63,396,"Přezletice,Kocanda - Praha, Hloubětínská",3,
L397D18,18,397,"Praha,Opatov - Modletice,Kaufland",3,
L398D13,13,398,"Poděbrady,žel.st. - Praha,Černý Most",3,
L399D36,36,399,"Kladno,Energie - Praha,Nádraží Veleslavín",3,
L3D1,1,3,"Palmovka - Sídliště Modřany",0,
L41D1,1,41,"Vozov. Střešovice - Výstaviště Holešovice",0,
L421D13,13,421,"Kolín - Svojšice - Kouřim - Sázava",3,
L422D13,13,422,"Český Brod - Vitice - Kouřim - Plaňany - Kolín",3,
L423D13,13,423,"Doubravčice - Škvorec - Úvaly,Žel.st.",3,
L424D13,13,424,"Kolín - Toušice - Kouřim",3,
L425D21,21,425,"Mořinka - Beroun",3,
L426D11,11,426,"Pečky - Klučov,Skramníky - Český Brod - Tuklaty,Tlustovousy",3,
L426D13,13,426,"Tuklaty,Tlustovousy - Český Brod - Klučov,Skramníky - Pečky",3,
L427D13,13,427,"Kounice - Vyšehořovice - Čelákovice",3,
L428D18,18,428,"Mukařov - Doubek - Říčany - Modletice - Jesenice",3,
L429D13,13,429,"Semice - Velenka - Poříčany",3,
L430D13,13,430,"Přerov n.L. - Mochov",3,
L431D13,13,431,"Lysá nad Labem - Lysá nad Labem,Byšičky / Stará Lysá - Benátky nad Jizerou",3,
L431D21,21,431,"Benátky nad Jizerou - Stará Lysá / Lysá nad Labem,Byšičky - Lysá nad Labem",3,
L432D13,13,432,"Lysá nad Labem - Milovice - Vlkava",3,
L433D13,13,433,"Pečky - Sadská - Nymburk",3,
L434D13,13,434,"Benátky nad Jizerou - Milovice - Straky - Nymburk",3,
L435D11,11,435,"Hradešín - Český Brod - Chrášťany - Klučov,Skramníky",3,
L436D13,13,436,"Milovice -  Lipník - Vlkava - Nymburk",3,
L437D21,21,437,"Nový Knín - Nové Dvory - Štěchovice - Hradištko",3,
L438D12,12,438,"Benešov - Netvořice - Štěchovice",3,
L439D21,21,439,"Nový Knín - Chotilsko,Živohošť",3,
L440D12,12,440,"Štěchovice - Štěchovice,Masečín",3,
L440D21,21,440,"Štěchovice - Štěchovice,Masečín",3,
L441D18,18,441,"Jílové u Prahy - Jílové u Prahy,Luka pod Medníkem,nádraží",3,
L442D21,21,442,"Lysá nad Labem - Jiřice - Benátky nad Jizerou",3,
L443D13,13,443,"Nymburk - Sadská - Čelákovice",3,
L444D18,18,444,"Kamenice - Jílové u Prahy - Davle - Měchenice",3,
L445D18,18,445,"Březová-Oleško,Oleško - Vrané nad Vltavou,žel.st.",3,
L446D17,17,446,"Mníšek pod Brdy - Kytín - Voznice,Chouzavá",3,
L447D17,17,447,"Mníšek p.Brdy,náměstí - Mníšek p.Brdy,žel.st. - Mníšek p.Brdy,OPS Magdaléna",3,
L448D17,17,448,"Mníšek pod Brdy - Dobřichovice - Karlík",3,
L449D17,17,449,"Jíloviště/Bratřínov - Čisovice - Mníšek pod Brdy,náměstí",3,
L450D13,13,450,"Polní Voděrady - Plaňany - Vrbčany",3,
L451D21,21,451,"Mořina - Řevnice",3,
L452D12,12,452,"Jílové u Prahy - Týnec nad Sázavou - Benešov",3,
L453D12,12,453,"Benešov - Týnec nad Sázavou -  Netvořice - Neveklov",3,
L454D12,12,454,"Benešov - Neveklov - Křečovice,Živohošť",3,
L455D12,12,455,"Rabyně,Měřín - Neveklov - Benešov",3,
L456D26,26,456,"Libčice n.Vlt. - Koleč - Slaný",3,
L456D34,34,456,"Slaný - Koleč - Libčice n.Vlt.",3,
L457D10,10,457,"MHD Kralupy nad Vltavou: Zeměchy - Minice - Žel.st. - Tesco",3,
L458D10,10,458,"Holubice/Nelahozeves - Kralupy nad Vltavou",3,
L459D12,12,459,"Neveklov - Křečovice,Strážovice - Maršovice - Benešov",3,
L460D21,21,460,"Nový Knín - Borotice,Dražetice - Nový Knín",3,
L461D18,18,461,"Strančice - Velké Popovice - Kamenice",3,
L462D18,18,462,"Strančice - Kunice,Všešímy",3,
L463D18,18,463,"Mirošovice - Velké Popovice - Strančice",3,
L464D10,10,464,"Mělník - Lužec nad Vltavou - Horní Beřkovice",3,
L465D18,18,465,"Chocerady - Chocerady,Samechov",3,
L466D10,10,466,"Mělník - Spomyšl - Kralupy nad Vltavou",3,
L467D10,10,467,"Mladá Boleslav - Mělník - Roudnice nad Labem",3,
L467D66,66,467,"Roudnice nad Labem - Mělník - Mladá Boleslav",3,
L468D66,66,468,"Černouček - Dolní Beřkovice - Mělník",3,
L469D18,18,469,"Březí - Říčany - Strančice",3,
L470D10,10,470,"Mělník - Chlumín - Kralupy nad Vltavou",3,
L471D10,10,471,"Brandýs nad Labem-Stará Boleslav - Neratovice - Mělník",3,
L472D10,10,472,"Mělník - Tišice - Brandýs nad Labem-Stará Boleslav",3,
L473D10,10,473,"Neratovice - Zálezlice - Kralupy nad Vltavou",3,
L474D10,10,474,"Byšice - Mělník - Dobřeň",3,
L475D10,10,475,"Mělník - Horní Počaply - Bechlín",3,
L476D10,10,476,"Neratovice - Kostelec nad Labem - Všetaty",3,
L477D10,10,477,"Brandýs n.L.-St.Boleslav - Mratín - Brandýs n.L.-St.Boleslav",3,
