stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding
U4457Z2,"Neveklov,Blažim,Rozc.Chlum",49.761643,14.46015,0,,2
U4455Z2,"Neveklov,Bělice,Rozc.",49.762764,14.477195,0,,2
U4454Z2,"Neveklov,Rozc.Nouze",49.761033,14.488192,0,,2
U4453Z2,"Stranný",49.753099,14.495408,0,,2
U4452Z2,"Stranný,Rozc.",49.750846,14.50262,0,,2
U4451Z2,"Stranný,Břevnice",49.753182,14.512865,0,,2
U4449Z2,"Neveklov,Neštětice,Rozc.",49.76501,14.575749,0,,2
U4448Z2,"Neveklov,Rozc.Černíkovice",49.767957,14.582816,0,,2
U4447Z2,"Neveklov,Přibyšice",49.771244,14.599502,0,,2
U4446Z2,"Václavice,Vatěkov,Pod Chlumem",49.778374,14.620991,0,,2
U4445Z2,"Václavice,Vatěkov",49.779461,14.634673,0,,2
U1384Z5,"Benešov,Aut.st.",49.779013,14.68434,0,,0
U4445Z1,"Václavice,Vatěkov",49.77965,14.634727,0,,2
U4446Z1,"Václavice,Vatěkov,Pod Chlumem",49.778582,14.621281,0,,2
U4447Z1,"Neveklov,Přibyšice",49.771387,14.599334,0,,2
U4448Z1,"Neveklov,Rozc.Černíkovice",49.768064,14.582579,0,,2
U4449Z1,"Neveklov,Neštětice,Rozc.",49.765107,14.575415,0,,2
U4451Z1,"Stranný,Břevnice",49.753325,14.512738,0,,2
U4452Z1,"Stranný,Rozc.",49.750989,14.502452,0,,2
U4542Z1,"Křečovice,Lhotka,U Švarců",49.744661,14.470258,0,,2
U4511Z4,"Týnec n.Sáz.,Brodce",49.83456,14.598006,0,,2
U4453Z1,"Stranný",49.753118,14.4957,0,,2
U4454Z1,"Neveklov,Rozc.Nouze",49.761222,14.488246,0,,2
U4455Z1,"Neveklov,Bělice,Rozc.",49.762926,14.477263,0,,2
U4456Z1,"Neveklov,Bělice",49.766254,14.473535,0,,2
U4460Z1,"Neveklov,Kelce",49.773314,14.468169,0,,2
U2545Z3,"Neveklov,Jablonka",49.77754,14.464416,0,,0
U2543Z2,"Rabyně,Rozc.Blaženice",49.792044,14.472394,0,,0
U2542Z2,"Rabyně,Strážovna",49.797741,14.472973,0,,0
U2541Z2,"Rabyně,Nedvězí",49.805735,14.473388,0,,0
U2541Z1,"Rabyně,Nedvězí",49.805654,14.473328,0,,0
U2542Z1,"Rabyně,Strážovna",49.797755,14.472916,0,,0
U2543Z1,"Rabyně,Rozc.Blaženice",49.792005,14.472079,0,,0
U4538Z3,"Křečovice,Nahoruby,Rozc.",49.743151,14.456831,0,,2
U4540Z1,"Křečovice,Nahoruby,Mlačina",49.745264,14.449259,0,,2
U4541Z1,"Křečovice,Nová Živohošť",49.750729,14.415881,0,,2
U4541Z2,"Křečovice,Nová Živohošť",49.750468,14.415856,0,,2
U4540Z2,"Křečovice,Nahoruby,Mlačina",49.745165,14.44915,0,,2
U4566Z2,"Neveklov,Zádolí",49.733416,14.50972,0,,2
U4553Z2,"Křečovice,Strážovice",49.719087,14.508131,0,,2
U4552Z2,"Křečovice,Hořetice",49.706899,14.517556,0,,2
